status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,present_residence,property,age,housing,number_credits,job,telephone,foreign_worker,credit_risk
1,18,4,2,6.956545443151569,0.6931471805599453,2,4,2,4,2,21,1,0.6931471805599453,3,1,2,1
1,8,4,0,8.131236549696116,0.6931471805599453,4,1,3,4,1,39,2,1.0986122886681098,2,1,1,1
2,24,2,3,8.231908243564177,1.3862943611198906,1,1,2,4,4,23,1,0.6931471805599453,1,1,2,1
1,30,4,1,8.730367211692958,1.0986122886681098,4,1,4,4,3,24,1,1.0986122886681098,3,1,2,1
1,6,4,3,7.579678823090456,0.6931471805599453,4,1,2,4,3,31,2,0.6931471805599453,3,1,2,1
1,18,2,3,7.5688956634069955,1.791759469228055,4,2,4,4,3,23,1,1.0986122886681098,2,1,2,1
2,18,2,3,8.075271546297458,1.3862943611198906,2,1,4,3,1,25,1,0.6931471805599453,3,1,2,1
2,36,4,3,7.757051142032013,0.6931471805599453,5,4,3,4,1,36,2,0.6931471805599453,3,1,2,1
2,36,2,5,7.776954403322442,0.6931471805599453,2,4,3,1,4,33,1,0.6931471805599453,2,1,2,0
2,12,4,4,7.261927092702751,0.6931471805599453,4,4,3,3,2,26,2,0.6931471805599453,3,1,2,1
2,11,3,3,8.470520783217808,0.6931471805599453,4,2,3,4,2,51,2,0.6931471805599453,3,1,2,1
1,12,2,2,6.481577129276431,0.6931471805599453,5,4,2,4,2,24,1,0.6931471805599453,3,1,2,1
2,9,4,3,7.051855622955894,0.6931471805599453,5,2,3,4,1,37,2,1.3862943611198906,2,1,2,1
4,15,2,0,8.176672771948455,1.791759469228055,3,3,3,2,4,29,2,0.6931471805599453,3,1,2,1
3,42,4,1,8.475746001502063,0.6931471805599453,5,4,3,4,4,56,3,0.6931471805599453,3,1,2,1
3,30,4,3,8.012349639327795,0.6931471805599453,5,4,3,4,2,47,2,0.6931471805599453,3,1,2,1
4,36,4,0,8.170751423757535,0.6931471805599453,4,4,3,4,3,37,2,1.0986122886681098,3,2,2,1
4,36,4,0,8.797095076549056,0.6931471805599453,5,4,3,4,3,34,2,1.0986122886681098,4,2,2,1
4,24,2,3,7.227662498728654,1.3862943611198906,4,4,2,1,3,28,2,0.6931471805599453,3,1,2,1
1,15,2,0,7.451241684987676,0.6931471805599453,2,2,3,3,1,36,2,0.6931471805599453,3,1,2,1
1,6,4,0,6.7580945044277305,0.6931471805599453,5,1,2,4,4,39,2,1.0986122886681098,3,2,2,1
4,12,4,3,7.5678626054638825,0.6931471805599453,5,2,3,2,4,26,2,1.0986122886681098,3,1,2,1
4,18,2,1,8.12533508671429,1.791759469228055,3,2,3,1,2,31,2,0.6931471805599453,3,2,2,1
4,24,4,1,8.260751354700513,0.6931471805599453,5,4,2,2,3,41,1,1.0986122886681098,4,2,2,1
4,12,4,5,6.904750769961838,1.791759469228055,4,4,2,4,1,23,2,1.0986122886681098,3,1,2,1
4,18,4,0,6.9363427358340495,0.6931471805599453,3,4,2,3,1,36,2,1.0986122886681098,3,1,2,1
2,18,2,6,7.122866658599083,1.791759469228055,3,4,3,4,4,61,3,0.6931471805599453,3,1,2,1
1,18,2,0,7.104144092987527,0.6931471805599453,2,4,2,3,3,23,1,0.6931471805599453,3,2,2,0
4,18,4,6,7.5310163320779155,1.0986122886681098,3,4,2,2,1,30,2,1.0986122886681098,3,1,2,0
4,24,2,0,7.29641326877392,1.0986122886681098,2,4,4,3,1,33,2,0.6931471805599453,3,2,2,1
4,12,2,0,6.46302945692067,0.6931471805599453,3,4,1,2,1,49,2,0.6931471805599453,2,1,2,1
3,36,2,3,8.273846932784508,0.6931471805599453,3,2,3,2,1,23,2,0.6931471805599453,3,2,2,1
4,9,4,0,7.110696122978827,0.6931471805599453,3,3,3,1,1,30,2,1.0986122886681098,3,1,2,1
4,12,4,3,7.412160334945205,0.6931471805599453,5,2,3,4,1,63,2,1.0986122886681098,2,2,2,1
1,15,2,3,6.960347729101308,0.6931471805599453,2,4,4,2,1,27,2,0.6931471805599453,3,1,1,1
4,21,2,3,8.058643712215618,1.791759469228055,5,4,3,3,2,41,2,0.6931471805599453,3,2,2,1
4,36,2,0,8.03268487596762,1.791759469228055,3,4,3,4,1,36,2,0.6931471805599453,3,1,2,1
4,12,4,0,7.059617628291383,1.3862943611198906,3,4,3,4,1,44,2,0.6931471805599453,3,2,2,1
4,24,2,1,7.893572073504902,0.6931471805599453,2,4,2,1,4,29,2,0.6931471805599453,4,2,2,1
4,6,4,3,7.121252453244542,1.0986122886681098,3,1,2,1,2,27,2,1.0986122886681098,3,1,2,1
4,12,2,3,8.032035314398824,0.6931471805599453,3,2,3,4,3,52,2,0.6931471805599453,3,2,2,1
4,24,2,3,7.734121303328305,0.6931471805599453,4,4,3,2,3,28,2,0.6931471805599453,3,2,2,1
2,12,2,3,7.357556200910353,0.6931471805599453,3,1,2,1,3,22,2,0.6931471805599453,3,2,2,1
4,24,3,0,7.617267813628347,0.6931471805599453,5,4,3,4,4,60,3,1.0986122886681098,3,2,2,1
2,21,4,2,7.917900586327916,1.6094379124341003,4,3,3,2,3,32,2,1.0986122886681098,3,2,2,1
4,30,2,3,7.532623618788788,1.791759469228055,5,4,3,4,3,58,2,0.6931471805599453,3,2,2,1
4,36,2,3,7.7406644019172415,1.3862943611198906,5,4,3,4,3,39,2,0.6931471805599453,3,1,2,1
3,12,2,3,8.131530710604252,1.791759469228055,5,2,3,3,3,37,2,0.6931471805599453,4,1,2,1
2,9,2,2,7.616283561580385,1.791759469228055,4,2,3,1,3,24,2,0.6931471805599453,3,2,2,1
4,21,4,1,8.09437844497296,0.6931471805599453,5,1,3,4,3,36,2,0.6931471805599453,4,2,2,1
4,24,4,0,7.57095858316901,1.6094379124341003,5,4,3,4,1,60,2,0.6931471805599453,3,2,2,1
1,21,4,0,7.3796321526095525,0.6931471805599453,5,4,4,3,3,30,2,1.0986122886681098,3,2,2,1
4,15,2,3,7.590852123688581,1.791759469228055,5,4,3,2,3,35,2,0.6931471805599453,3,1,2,1
4,24,4,0,7.612336837167746,0.6931471805599453,3,4,2,4,3,37,2,0.6931471805599453,3,2,2,1
4,36,4,3,8.114623886420098,1.791759469228055,5,4,3,2,3,51,2,0.6931471805599453,3,2,2,1
2,18,2,0,8.67709870892586,1.0986122886681098,3,2,3,2,3,30,2,1.0986122886681098,3,2,2,1
3,15,4,1,7.766840537085513,1.3862943611198906,3,2,3,2,3,36,2,0.6931471805599453,3,2,2,1
4,15,4,2,7.327123292259293,1.791759469228055,5,4,3,4,2,63,2,0.6931471805599453,3,1,2,1
4,24,4,1,7.760893195851024,0.6931471805599453,4,4,3,3,3,35,2,1.0986122886681098,3,2,2,1
4,36,3,3,8.40178233990491,0.6931471805599453,3,4,2,4,1,34,2,1.0986122886681098,3,1,2,1
1,6,4,0,6.502790045915623,1.6094379124341003,4,3,2,4,1,39,2,1.0986122886681098,2,2,2,1
2,24,3,0,7.583756300707112,1.791759469228055,3,4,2,4,3,42,1,1.0986122886681098,3,2,2,1
2,12,4,0,7.59890045687141,1.0986122886681098,2,4,3,1,3,27,2,0.6931471805599453,3,1,2,1
2,30,2,3,8.003697339094368,1.791759469228055,5,2,2,4,3,25,2,0.6931471805599453,3,1,2,1
1,9,2,3,7.21890970761906,0.6931471805599453,4,3,3,4,1,59,2,0.6931471805599453,3,1,2,1
2,18,4,2,8.758098072309089,0.6931471805599453,5,2,3,1,4,41,2,0.6931471805599453,3,2,2,1
2,12,4,3,8.181440695719374,0.6931471805599453,3,1,2,1,1,23,2,0.6931471805599453,2,1,2,1
1,9,2,2,7.667158255319148,0.6931471805599453,3,3,3,2,1,25,2,0.6931471805599453,3,1,2,1
4,24,4,2,8.236950048061455,1.6094379124341003,3,4,3,4,1,40,2,0.6931471805599453,3,2,2,1
4,18,2,3,7.295735072749282,0.6931471805599453,2,3,4,4,1,39,2,0.6931471805599453,3,2,2,1
4,12,4,6,7.607381425639791,1.791759469228055,4,4,2,2,3,61,2,0.6931471805599453,3,1,2,1
1,15,2,0,8.283999304248526,0.6931471805599453,3,3,2,2,2,29,2,0.6931471805599453,3,2,2,0
2,12,4,0,7.769378609513984,1.3862943611198906,4,3,1,3,3,36,2,0.6931471805599453,4,2,2,1
4,12,2,2,6.638567789166521,0.6931471805599453,3,4,2,1,1,26,2,0.6931471805599453,3,2,2,1
2,21,2,2,8.28828304520769,1.791759469228055,4,2,3,3,3,35,2,0.6931471805599453,3,2,2,1
2,18,2,0,8.74209519574531,0.6931471805599453,4,3,3,3,1,28,1,0.6931471805599453,2,1,2,1
2,9,4,2,7.560080465021827,0.6931471805599453,4,4,3,3,3,35,1,0.6931471805599453,3,2,2,1
4,24,2,1,7.86480400332846,1.6094379124341003,3,2,2,4,3,28,1,0.6931471805599453,3,2,2,1
4,9,4,6,6.842683282238422,1.3862943611198906,5,4,3,2,3,52,2,1.0986122886681098,3,2,2,1
4,24,2,2,8.027150106832774,1.3862943611198906,5,4,3,3,4,32,1,0.6931471805599453,3,2,2,1
2,36,2,3,8.475537516147405,0.6931471805599453,2,4,2,1,4,30,2,0.6931471805599453,4,2,2,1
2,6,2,3,7.6324011266014535,0.6931471805599453,2,4,4,3,3,30,1,0.6931471805599453,4,2,2,1
4,15,4,3,7.286191714702382,0.6931471805599453,3,4,2,2,3,43,2,0.6931471805599453,2,1,2,1
4,24,4,3,8.537779825024625,0.6931471805599453,2,3,4,3,4,47,3,1.3862943611198906,3,2,2,1
4,15,2,4,6.774223886357614,1.791759469228055,2,4,2,1,1,24,2,0.6931471805599453,3,1,2,1
4,6,2,2,7.999342952713282,1.3862943611198906,3,1,3,2,3,32,2,0.6931471805599453,3,2,2,1
4,18,2,0,7.507141079727608,0.6931471805599453,3,2,4,2,2,30,2,0.6931471805599453,4,2,2,1
3,24,2,2,7.563200592358071,0.6931471805599453,3,2,3,2,1,26,2,0.6931471805599453,3,1,2,1
4,18,2,2,7.830425617820331,0.6931471805599453,3,3,3,4,1,43,2,0.6931471805599453,3,2,2,1
3,6,2,2,7.6577552711348655,0.6931471805599453,3,2,3,2,1,41,2,0.6931471805599453,3,2,2,1
4,18,2,3,7.282073658093465,0.6931471805599453,2,3,2,1,1,26,2,0.6931471805599453,3,1,2,1
4,10,2,0,7.21890970761906,0.6931471805599453,3,2,2,4,3,64,2,0.6931471805599453,3,2,2,1
4,6,2,2,7.342131730584722,1.6094379124341003,3,4,1,2,1,33,2,0.6931471805599453,3,1,2,1
2,12,2,0,7.1846291527173145,1.6094379124341003,5,4,3,4,1,54,2,0.6931471805599453,3,2,2,1
3,24,4,3,8.054840221101024,1.791759469228055,3,3,3,2,3,31,2,1.0986122886681098,3,2,2,1
4,36,2,3,8.252185436003328,1.791759469228055,5,2,2,4,1,45,2,0.6931471805599453,2,2,2,1
4,9,2,6,8.251403065380556,1.791759469228055,5,1,3,4,1,64,2,0.6931471805599453,2,1,2,1
2,24,2,3,8.53405030848266,1.791759469228055,5,2,2,4,3,42,2,0.6931471805599453,3,2,2,1
4,9,4,2,7.786136437783072,0.6931471805599453,1,2,3,3,3,31,2,0.6931471805599453,4,1,2,1
4,36,2,3,7.781138509845015,1.791759469228055,3,4,2,4,3,25,2,0.6931471805599453,3,1,2,1
4,21,2,1,7.814803429489359,1.791759469228055,5,4,3,4,1,46,2,0.6931471805599453,4,2,2,1
1,12,2,2,7.141245122350491,1.791759469228055,5,2,1,4,2,49,2,0.6931471805599453,2,2,2,1
2,24,4,3,7.463936604468925,0.6931471805599453,5,4,3,2,2,48,2,1.0986122886681098,2,1,2,1
3,12,1,3,6.016157159698354,1.6094379124341003,3,3,2,3,1,42,1,1.0986122886681098,3,1,2,1
2,12,2,3,7.055312843339752,1.3862943611198906,3,3,1,1,3,26,2,0.6931471805599453,3,2,2,1
4,24,4,3,7.895436006942965,0.6931471805599453,3,4,3,2,1,35,2,1.0986122886681098,2,1,2,1
2,12,4,2,8.193676665955241,0.6931471805599453,5,1,3,4,3,28,1,1.3862943611198906,3,2,2,1
4,12,4,3,7.163946684342547,0.6931471805599453,3,4,2,2,2,35,2,1.0986122886681098,3,1,2,1
4,24,2,2,8.287276755814599,0.6931471805599453,4,2,2,4,2,25,1,0.6931471805599453,3,2,2,1
4,15,4,2,8.114922974204593,0.6931471805599453,3,4,3,2,4,28,3,0.6931471805599453,3,2,2,1
3,15,2,6,5.973809611869261,0.6931471805599453,2,4,2,4,2,23,1,0.6931471805599453,3,2,2,1
4,9,4,0,7.666221925662725,0.6931471805599453,3,4,3,4,3,48,2,1.3862943611198906,3,2,2,1
4,30,4,3,8.660773919893762,0.6931471805599453,4,4,2,2,3,25,2,1.0986122886681098,3,1,2,1
4,6,4,3,7.232010331664759,0.6931471805599453,3,1,2,1,3,28,2,1.0986122886681098,3,2,2,1
3,36,2,3,8.674025985443025,0.6931471805599453,3,4,3,1,3,24,2,0.6931471805599453,3,1,2,1
1,12,2,0,7.113956109566034,0.6931471805599453,3,4,2,2,1,24,2,0.6931471805599453,2,1,2,0
3,12,2,3,7.168579897264035,0.6931471805599453,3,3,4,4,1,23,1,0.6931471805599453,3,1,2,1
4,24,2,3,8.082093278178382,1.3862943611198906,5,3,1,2,3,36,2,0.6931471805599453,4,2,2,1
2,12,4,1,7.498315870766981,1.0986122886681098,2,3,3,4,2,44,2,0.6931471805599453,3,1,2,1
4,9,2,4,7.1204443723924875,0.6931471805599453,2,1,2,4,1,23,1,0.6931471805599453,3,2,2,1
4,18,4,0,6.962243464266207,0.6931471805599453,2,4,2,1,2,30,2,1.0986122886681098,3,1,2,1
4,30,4,3,7.94873845481361,0.6931471805599453,3,4,2,2,3,33,2,0.6931471805599453,3,2,2,1
4,12,2,0,7.779466967458324,1.791759469228055,5,4,3,3,3,50,2,0.6931471805599453,3,2,2,1
4,24,2,3,7.550661243105336,1.0986122886681098,3,4,3,4,3,29,1,0.6931471805599453,4,2,2,1
2,36,2,6,8.21932609390609,1.791759469228055,3,2,4,2,3,27,2,0.6931471805599453,3,1,2,1
4,24,2,0,7.721348612617949,1.791759469228055,2,4,3,1,2,54,2,0.6931471805599453,3,1,2,1
4,12,2,3,7.141245122350491,0.6931471805599453,3,3,3,2,3,25,2,0.6931471805599453,3,1,2,1
4,18,4,2,7.505492274737424,0.6931471805599453,3,4,2,2,4,28,2,1.0986122886681098,3,1,2,1
4,12,2,3,7.669495251007694,1.0986122886681098,4,3,3,1,4,35,2,0.6931471805599453,3,1,2,1
2,15,2,3,7.275864600546533,1.791759469228055,2,4,3,1,2,23,2,0.6931471805599453,3,1,2,1
2,9,2,0,7.346010209913293,1.791759469228055,2,4,3,2,1,35,2,0.6931471805599453,1,1,2,1
4,10,2,1,7.973155433444133,1.791759469228055,2,1,2,4,1,31,1,0.6931471805599453,3,1,2,1
3,6,2,0,6.565264970035361,1.6094379124341003,2,2,4,2,1,27,2,0.6931471805599453,1,1,1,1
4,24,3,1,8.451053388911692,0.6931471805599453,4,3,3,3,3,35,2,1.0986122886681098,2,2,2,1
1,18,2,2,7.886081401775745,1.6094379124341003,3,4,3,2,3,28,2,0.6931471805599453,3,1,2,1
4,24,4,3,7.324489979348532,1.6094379124341003,3,4,2,1,1,43,2,1.0986122886681098,2,1,2,1
4,14,3,0,6.688354713946762,0.6931471805599453,3,4,3,2,3,27,2,1.0986122886681098,2,1,2,1
4,24,2,3,7.153833801578843,0.6931471805599453,5,4,3,1,1,36,2,0.6931471805599453,4,2,2,1
4,6,0,3,6.056784013228625,0.6931471805599453,5,4,4,4,3,39,2,0.6931471805599453,2,1,2,1
1,30,2,1,8.257904193465674,0.6931471805599453,3,4,1,4,2,40,2,0.6931471805599453,4,2,2,1
1,24,2,3,7.38025578842646,0.6931471805599453,5,4,2,4,3,55,2,0.6931471805599453,3,1,2,1
4,21,2,2,7.715123603632105,0.6931471805599453,5,4,3,2,1,50,2,1.0986122886681098,3,1,2,1
4,39,2,1,7.851661177889265,1.3862943611198906,3,4,3,4,3,24,2,0.6931471805599453,3,1,2,1
4,15,4,3,7.183111701743281,1.3862943611198906,3,2,4,2,2,47,2,1.0986122886681098,2,1,2,1
4,24,2,1,8.157370441186774,1.0986122886681098,4,3,2,4,3,23,2,0.6931471805599453,3,1,2,1
4,18,4,3,7.496097345175956,0.6931471805599453,3,4,3,2,3,24,2,1.0986122886681098,3,1,2,1
4,24,3,2,8.331345424845724,1.0986122886681098,3,2,3,3,2,35,2,1.0986122886681098,3,1,2,1
2,15,2,5,7.875499292445208,1.0986122886681098,3,3,2,2,1,25,2,0.6931471805599453,2,1,2,1
4,21,2,1,8.5657928612523,1.791759469228055,3,1,3,3,3,26,2,0.6931471805599453,3,1,2,1
4,12,2,3,6.690842277418564,0.6931471805599453,5,4,3,4,3,38,2,0.6931471805599453,3,1,2,1
4,36,2,3,8.18757739559151,0.6931471805599453,5,4,3,2,3,28,2,0.6931471805599453,3,1,2,1
4,36,4,1,8.65032450401942,1.6094379124341003,5,4,3,2,3,38,2,1.0986122886681098,4,2,2,1
1,15,3,2,8.200837258379849,0.6931471805599453,5,1,2,4,2,27,2,1.0986122886681098,2,1,2,1
4,10,4,2,7.671826797878781,0.6931471805599453,2,1,2,3,1,23,1,1.0986122886681098,3,1,2,1
1,10,2,3,7.7475968386928855,0.6931471805599453,5,3,3,4,1,52,2,0.6931471805599453,2,1,2,1
4,11,4,0,7.2399325913204695,0.6931471805599453,2,4,2,4,3,35,2,1.0986122886681098,4,1,2,1
3,10,2,2,7.151485463904735,0.6931471805599453,2,4,2,2,2,23,2,0.6931471805599453,3,1,2,1
4,9,2,2,7.1808311990445555,0.6931471805599453,5,1,3,4,3,20,2,0.6931471805599453,3,1,2,1
4,22,2,3,7.892078421248119,1.3862943611198906,5,3,3,4,3,40,2,0.6931471805599453,3,1,2,1
4,36,2,0,6.813444599510896,1.3862943611198906,5,4,3,4,2,36,2,0.6931471805599453,3,1,2,1
4,12,4,2,7.138073034044347,0.6931471805599453,2,2,2,4,2,22,1,1.0986122886681098,2,1,2,1
4,6,2,1,7.1204443723924875,1.3862943611198906,3,2,3,4,2,50,1,0.6931471805599453,3,1,2,1
4,6,2,5,6.493753839851686,1.3862943611198906,4,2,4,4,1,23,1,0.6931471805599453,2,1,2,1
